"","Player","Nation","Pos","Squad","Matches","League","Rk","Age","Born","MP","Starts","Min","Gls","Ast","PK","PKatt","CrdY","CrdR","xG","npxG","xA","Sh","SoT","FK","SoTperc","GperSh","GperSoT","npxGperSh","G-xG","npG-xG","PassCmp","PassAtt","PassCmpperc","PassTotDist","PassPrgDist","ShPassCmp","ShPassAtt","ShPassCmpperc","MedPassCmp","MedPassAtt","MedPassCmpperc","LngPassCmp","LngPassAtt","LngPassCmpperc","A-xA","KP","PassF3","PPA","CrsPA","ProgPasses","Att","PassLive","PassDead","PassFK","PassTB","PassPress","PassSw","PassCrs","PassCK","CKIn","CKOut","CKStr","PassGround","PassLow","PassHigh","PassLeft","PassRight","PassHead","PassTI","PassOther","PassOff","PassOut","PassInt","PassBlocks","SCA","SCAPassLive","SCAPassDead","SCADrib","SCASh","SCAFld","GCA","GCAPassLive","GCAPassDead","GCADrib","GCASh","GCAFld","GCAOG","TklDef3rd","TklMid3rd","TklAtt3rd","vDribTkl","vDribAtt","vDribTklperc","vDribPast","PressSucc","Pressperc","PressDef3rd","PressMid3rd","PressAtt3rd","BlockSh","BlockShSv","BlockPass","Int","Clr","Err","Touches","TouchesDefPen","TouchesDef3rd","TouchesMid3rd","TouchesAtt3rd","TouchesAttPen","TouchesLive","DribSucc","DribAtt","DribSuccperc","Drib#Pl","DribMegs","Carries","CarryTotDist","CarryPrgDist","Targ","Rec","Recperc","Miscon","Dispos","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWonperc"
"4372","Antonino Ragusa","it ITA","FW,MF","Sassuolo","Matches","Serie-A",420,27,1990,30,7,825,0,1,0,0,6,0,2.8,2.8,0.9,22,6,0,27.3,0,0,0.14,-2.8,-2.8,184,267,68.9,2859,947,4,13,30.8,158,201,78.6,22,53,41.5,0.1,12,9,10,4,36,267,247,20,3,0,50,3,22,3,1,0,0,167,53,47,49,192,11,9,1,0,6,6,12,30,18,0,5,2,5,2,2,0,0,0,0,0,11,6,3,8,19,42.1,11,67,26,59,116,83,1,0,17,7,5,0,418,20,73,158,224,54,400,16,24,66.7,18,0,304,2170,1386,411,274,66.7,33,21,0,19,32,5,22,14,1,0,0,60,6,15,28.6
"4382","Gastón Ramírez","uy URU","MF,FW","Sampdoria","Matches","Serie-A",421,26,1990,37,28,2214,3,6,0,0,9,0,3.9,3.9,5.4,50,20,12,40,0.06,0.15,0.08,-0.9,-0.9,780,1101,70.8,13159,3299,18,46,39.1,629,773,81.4,133,282,47.2,0.6,46,65,39,5,104,1101,1000,101,26,5,214,43,123,64,25,7,5,661,184,256,904,129,35,4,7,4,24,27,33,94,55,11,10,5,13,13,8,0,1,1,3,0,7,17,16,10,47,21.3,37,136,26.4,75,226,214,4,0,28,14,30,0,1479,39,164,703,723,84,1374,68,92,73.9,69,2,1045,6036,2924,1292,1048,81.1,58,75,0,50,60,0,123,23,2,0,0,162,32,49,39.5
"4392","Andrea Ranocchia","it ITA","DF","Inter","Matches","Serie-A",422,29,1988,11,7,627,2,0,0,0,4,0,0.7,0.7,0,7,3,0,42.9,0.29,0.67,0.11,1.3,1.3,286,316,90.5,6106,1899,3,4,75,195,207,94.2,88,105,83.8,0,0,9,1,0,12,316,312,4,3,0,38,4,1,0,0,0,0,243,35,38,31,258,15,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,5,80,1,14,28.6,20,28,1,5,0,6,12,41,0,388,46,203,194,13,8,385,0,0,NA,0,0,232,1189,613,256,251,98,1,0,0,12,3,0,1,7,0,0,1,60,29,8,78.4
"4402","Vasco Regini","it ITA","DF","Sampdoria","Matches","Serie-A",423,26,1990,14,10,1077,0,0,0,0,2,0,0.1,0.1,0.1,2,0,0,0,0,NA,0.07,-0.1,-0.1,584,679,86,10428,3479,10,19,52.6,469,503,93.2,105,157,66.9,-0.1,3,37,3,2,57,679,613,66,15,0,79,14,15,0,0,0,0,483,71,125,498,98,23,51,0,0,11,6,9,6,4,1,0,1,0,0,0,0,0,0,0,0,11,1,1,6,15,40,9,22,26.2,50,23,11,5,0,25,10,60,0,810,80,302,463,102,5,745,9,12,75,9,0,513,2948,2013,550,537,97.6,6,8,0,10,6,0,15,8,0,0,0,88,19,9,67.9
"4413","Pepe Reina","es ESP","GK","Napoli","Matches","Serie-A",424,34,1982,37,37,3330,0,0,0,0,1,0,0,0,0.2,0,0,0,NA,NA,NA,NA,0,0,871,1076,80.9,25570,13721,1,2,50,410,417,98.3,460,657,70,-0.2,1,4,0,0,0,1076,822,254,63,0,104,48,0,0,0,0,0,633,124,319,100,792,1,0,150,3,17,2,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,66.7,6,0,0,0,0,0,0,0,0,1178,1039,1174,8,0,0,926,0,0,NA,0,0,645,2901,1229,628,627,99.8,0,0,0,0,3,0,0,0,0,0,0,170,0,0,NA
"4422","Federico Ricci","it ITA","FW,MF","Crotone","Matches","Serie-A",425,23,1994,15,10,921,1,1,0,0,4,0,2.2,2.2,1.7,25,9,0,36,0.04,0.11,0.09,-1.2,-1.2,239,376,63.6,4460,1294,3,17,17.6,183,242,75.6,53,117,45.3,-0.7,11,17,14,2,49,376,339,37,15,0,64,21,62,20,7,1,1,194,78,104,272,76,19,2,4,3,15,7,20,22,10,6,4,1,1,2,1,1,0,0,0,0,8,14,7,10,26,38.5,16,44,24.4,39,83,58,0,0,20,9,1,0,557,7,75,241,277,35,523,20,35,57.1,22,1,405,2353,1290,521,374,71.8,35,29,0,17,26,2,62,14,0,0,0,78,4,10,28.6
"4442","Federico Ricci","it ITA","FW,MF","Genoa","Matches","Serie-A",426,23,1994,5,2,217,0,0,0,0,0,0,0.2,0.2,0.3,3,1,0,33.3,0,0,0.07,-0.2,-0.2,49,77,63.6,842,294,2,7,28.6,38,50,76,9,20,45,-0.3,4,6,2,2,12,77,71,6,1,0,13,4,11,3,1,1,1,48,14,15,58,16,1,1,0,0,3,3,6,8,7,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,50,2,12,35.3,9,17,8,0,0,1,1,1,0,106,1,10,41,60,3,101,2,3,66.7,2,0,82,570,255,105,76,72.4,7,7,0,4,7,1,11,4,0,0,0,16,3,9,25
"4452","Luca Rigoni","it ITA","MF,FW","Genoa","Matches","Serie-A",427,32,1984,23,19,1574,2,2,0,0,5,0,3.7,3.7,2.1,18,10,0,55.6,0.11,0.2,0.2,-1.7,-1.7,440,554,79.4,8006,2333,8,21,38.1,339,403,84.1,93,130,71.5,-0.1,12,47,10,2,59,554,544,10,6,1,68,21,22,0,0,0,0,334,98,122,35,459,38,3,5,2,10,10,12,24,20,0,2,2,0,2,2,0,0,0,0,0,14,22,1,9,34,26.5,25,111,31.7,103,193,54,2,0,23,16,14,0,706,19,126,412,201,40,698,10,14,71.4,12,2,440,2084,1069,558,447,80.1,13,16,0,28,22,6,22,24,0,0,0,141,16,18,47.1
"4462","Nicola Rigoni","it ITA","MF","Chievo","Matches","Serie-A",428,26,1990,15,12,933,0,0,0,0,3,0,0.4,0.4,0.2,12,1,0,8.3,0,0,0.03,-0.4,-0.4,344,422,81.5,6679,2649,6,15,40,265,302,87.7,73,105,69.5,-0.2,4,49,8,1,69,422,414,8,7,0,59,15,4,0,0,0,0,271,55,96,62,317,29,0,4,5,8,10,7,12,10,0,0,1,1,0,0,0,0,0,0,0,14,14,3,8,22,36.4,14,50,27.9,65,99,15,5,0,8,12,20,0,515,36,133,325,82,11,507,3,6,50,3,0,309,1269,692,327,309,94.5,2,5,0,22,10,0,4,22,0,0,0,111,13,18,41.9
"4472","Tomás Rincón","ve VEN","MF","Torino","Matches","Serie-A",429,29,1988,36,35,2995,1,0,0,0,12,0,0.8,0.8,1.7,17,5,0,29.4,0.06,0.2,0.05,0.2,0.2,1256,1520,82.6,24211,6333,16,41,39,957,1101,86.9,283,378,74.9,-1.7,23,107,30,3,128,1520,1478,42,32,1,307,53,21,0,0,0,0,1018,221,281,149,1234,80,9,5,7,26,21,31,46,44,0,1,0,1,3,3,0,0,0,0,0,21,32,7,22,74,29.7,52,174,28.3,225,309,81,12,0,36,63,55,0,1862,61,499,1084,400,22,1827,50,59,84.7,52,4,1330,6646,3112,1281,1203,93.9,30,60,0,73,47,1,21,32,0,0,0,375,52,38,57.8
"4482","Luca Rizzo","it ITA","MF","SPAL","Matches","Serie-A",430,25,1992,11,4,488,2,0,0,0,0,0,0.5,0.5,1,10,7,0,70,0.2,0.29,0.05,1.5,1.5,143,207,69.1,2324,741,5,19,26.3,117,151,77.5,21,37,56.8,-1,5,8,6,3,27,207,192,15,2,0,34,6,24,11,1,1,0,128,40,39,55,139,9,2,1,2,6,8,16,13,6,3,4,0,0,0,0,0,0,0,0,0,10,9,1,6,27,22.2,21,29,21.8,60,53,20,0,0,15,4,4,1,301,6,60,129,130,22,286,13,21,61.9,14,0,221,1404,863,220,195,88.6,9,15,0,7,7,1,24,9,0,1,0,39,1,4,20
